"variable","n","mean","sd","median","q1","q3","min","max"
"Age",339,26.165191740413,4.09095888071715,26,23,29,18,40
"Height",339,196.825958702065,8.575238117249,198,192,204,171,215
"Setting Errors",339,0.427728613569322,0.888751785811084,0,0,1,0,6
"Sets Per Match",339,1.90846607669617,5.52769444923846,0.07,0,0.25,0,33.8
"Successful Receives",339,10.9262536873156,18.8628776929325,1,0,12.5,0,106
"Receiving Errors",339,3.25073746312684,5.20687055089994,0,0,4,0,22
"Receives Per Match",339,1.01882005899705,1.65611733857329,0.11,0,1.4,0,8.83
"Aces",339,3.24483775811209,4.53607449157598,1,0,4,0,26
"Service Errors",339,11.5014749262537,12.7903843855218,7,1,18,0,64
"Service Attempts",339,45.1209439528024,43.3955264954393,35,6,71,0,177
"Serves Per Match",339,0.294837758112094,0.38993348726067,0.17,0,0.42,0,2.27
"Blocks",339,5.63421828908555,7.28998727035329,3,0,8,0,37
"Blocking Errors",339,12.8938053097345,13.6149692452015,9,1,19.5,0,66
"Blocks Per Match",339,0.525073746312684,0.614249609932955,0.33,0,0.83,0,3.08
"Defensive Errors",339,9.96165191740413,10.8000248568263,6,2,15.5,0,60
"Defensive Receptions",339,12.8525073746313,13.0720155235648,8,2.5,19,0,72
"Digs Per Match",339,1.69666666666667,1.64804755680985,1.25,0.5,2.32,0,9
"Kills",339,33.4719764011799,44.4770562411801,16,1,52.5,0,219
"Attacking Errors",339,10.2536873156342,14.6000104250242,4,0,14,0,76
"Attacking Attempts",339,26.188790560472,35.6094827060448,11,1,35,0,166
"Attacks Per Match",339,3.15020648967552,3.77548840272743,1.75,0.12,5,0,16.85
"Total.Errors",339,48.2890855457227,42.9825088141002,36,15.5,73,0,187
