"Position","Player Name","Team","mahalanobis","cutoff","outlier"
"SETTER","Jovović","SRB",47.0204081632653,20.0902350296632,TRUE
"LIBERO","Honorato","BRA",44.021739130435,20.0902350296632,TRUE
"LIBERO","Mohwinkel","GER",44.0217391304348,20.0902350296632,TRUE
"LIBERO","Ivović","SRB",44.0217391304348,20.0902350296632,TRUE
"MIDDLE BLOCKER","Mašulović N.","SRB",43.6434065488385,20.0902350296632,TRUE
"OUTSIDE HITTER","Koops","NED",37.7390224206073,20.0902350296632,TRUE
"OUTSIDE HITTER","Michieletto","ITA",32.6781382693072,20.0902350296632,TRUE
"MIDDLE BLOCKER","Bedirhan","TUR",28.1017599556582,20.0902350296632,TRUE
"MIDDLE BLOCKER","Pajenk","SLO",27.6907297678369,20.0902350296632,TRUE
"MIDDLE BLOCKER","Krick","GER",27.670274136156,20.0902350296632,TRUE
"SETTER","Brizard","FRA",27.0566962599914,20.0902350296632,TRUE
"MIDDLE BLOCKER","McCarthy","CAN",23.7941323167602,20.0902350296632,TRUE
"MIDDLE BLOCKER","Simón","CUB",23.0871465358312,20.0902350296632,TRUE
"SETTER","S. Nikolov","BUL",22.8491759265756,20.0902350296632,TRUE
"OUTSIDE HITTER","Ishikawa","JPN",22.5776766793821,20.0902350296632,TRUE
"OUTSIDE HITTER","Mandıracı","TUR",21.3993585984555,20.0902350296632,TRUE
"SETTER","Tizi-Oualou","FRA",20.5735968294562,20.0902350296632,TRUE
"MIDDLE BLOCKER","Maase","GER",20.1186739625451,20.0902350296632,TRUE
"OPPOSITE SPIKER","John","GER",20.0632933805962,20.0902350296632,FALSE
"OUTSIDE HITTER","Yanchuk","UKR",20.0500433982245,20.0902350296632,FALSE
"MIDDLE BLOCKER","Parkinson","NED",19.6871600962945,20.0902350296632,FALSE
"OUTSIDE HITTER","Morteza","IRI",19.6625523791879,20.0902350296632,FALSE
"OPPOSITE SPIKER","Gürbüz","TUR",19.6212875632205,20.0902350296632,FALSE
"OUTSIDE HITTER","Z. Štern","SLO",19.2752267911459,20.0902350296632,FALSE
"OPPOSITE SPIKER","Masso","CUB",18.8089391143029,20.0902350296632,FALSE
"OUTSIDE HITTER","Kovalov","UKR",18.4681708335043,20.0902350296632,FALSE
"LIBERO","Martinez Franchi","ARG",17.3651561618432,20.0902350296632,FALSE
"OUTSIDE HITTER","Leon","POL",16.8442409826655,20.0902350296632,FALSE
"MIDDLE BLOCKER","Grozdanov","BUL",16.6286292530013,20.0902350296632,FALSE
"OPPOSITE SPIKER","A. Lagumdzija","TUR",16.352454235452,20.0902350296632,FALSE
"OPPOSITE SPIKER","Amin","IRI",16.0433473177876,20.0902350296632,FALSE
"SETTER","Fernando","BRA",15.969138662845,20.0902350296632,FALSE
"OUTSIDE HITTER","Otsuka","JPN",15.886325501484,20.0902350296632,FALSE
"OUTSIDE HITTER","Ji D.S.","CHN",15.8209065839221,20.0902350296632,FALSE
"LIBERO","Briggs","USA",15.737499009139,20.0902350296632,FALSE
"OUTSIDE HITTER","Yant","CUB",15.4886334173593,20.0902350296632,FALSE
