"Player Name","Team","Position","Age","Height","Setting Errors","Sets Per Match","Successful Receives","Receiving Errors","Receives Per Match","Aces","Service Errors","Service Attempts","Serves Per Match","Blocks","Blocking Errors","Blocks Per Match","Defensive Errors","Defensive Receptions","Digs Per Match","Kills","Attacking Errors","Attacking Attempts","Attacks Per Match","Total.Errors"
"A. Lagumdzija","TUR","OPPOSITE SPIKER",26,211,0,0.25,1,1,0.25,5,19,42,1.25,4,13,1,14,5,6.25,60,18,65,15,65
"A. Nikolov","BUL","OUTSIDE HITTER",21,207,1,0.5,46,19,3.83,16,46,100,1.33,15,26,1.25,17,31,5.08,177,54,124,14.75,163
"Adamczyk","POL","MIDDLE BLOCKER",26,208,0,0,0,0,0,1,5,23,0.25,3,6,0.75,4,4,0.5,11,1,8,2.75,16
"Adriano","BRA","OUTSIDE HITTER",23,201,0,0,9,2,0.6,4,7,41,0.27,1,1,0.07,6,4,0.6,12,10,21,0.8,26
"Ahyi","NED","OPPOSITE SPIKER",27,200,0,0.17,0,0,0,3,42,70,0.25,14,28,1.17,36,29,2.75,161,53,115,13.42,159
"Alan","BRA","OPPOSITE SPIKER",31,202,0,0.18,1,1,0.09,8,23,121,0.73,20,27,1.82,16,23,3.91,159,40,104,14.45,107
"Alexandre","BRA","LIBERO",27,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alonso","CUB","MIDDLE BLOCKER",28,202,0,0.08,2,3,0.15,0,5,62,0,13,27,1,4,7,0.54,26,5,19,2,44
"Amin","IRI","OPPOSITE SPIKER",28,203,1,0.5,1,2,0.1,11,22,104,1.1,8,27,0.8,20,15,4.4,139,40,102,13.9,112
"Antov","BUL","OPPOSITE SPIKER",21,196,0,0.08,0,1,0,7,39,69,0.58,5,23,0.42,18,19,2.33,100,35,72,8.33,116
"Anzani","ITA","MIDDLE BLOCKER",33,204,0,0.09,2,1,0.18,2,9,112,0.18,19,41,1.73,5,14,1.27,35,7,20,3.18,63
"Ariakhah","IRI","OPPOSITE SPIKER",19,205,0,0,0,0,0,0,3,3,0,1,0,0.25,0,0,0.25,6,2,3,1.5,5
"Arman","IRI","LIBERO",32,180,0,0.17,42,4,3.5,0,0,0,0,0,0,0,15,17,3.67,0,0,0,0,19
"Armoa Morel","ARG","OUTSIDE HITTER",22,195,0,0.12,15,4,1.88,0,9,27,0,4,7,0.5,10,3,0.88,17,8,15,2.12,38
"Arshia","IRI","SETTER",22,194,6,22.17,0,2,0,1,21,83,0.08,5,24,0.42,20,15,3.08,5,2,10,0.42,75
"Arthur","BRA","OUTSIDE HITTER",21,205,0,0.08,13,7,1,2,5,39,0.15,4,9,0.31,4,7,1.23,40,6,25,3.08,31
"Asparuhov","BUL","OUTSIDE HITTER",25,201,1,0,38,16,3.17,1,19,79,0.08,9,22,0.75,12,30,2.25,69,22,76,5.75,92
"Atanasov","BUL","OUTSIDE HITTER",28,196,0,0,17,7,1.42,4,10,28,0.33,3,8,0.25,4,8,0.67,32,14,36,2.67,43
"B. Bayraktar","TUR","LIBERO",27,190,0,0.25,53,18,4.42,0,0,0,0,0,0,0,35,41,6.5,0,0,0,0,53
"Bak","NED","OUTSIDE HITTER",23,198,0,0,2,0,0.17,0,2,4,0,1,3,0.08,4,3,0.5,5,4,8,0.42,13
"Balaso","ITA","LIBERO",29,178,1,0.09,51,6,4.64,0,0,0,0,0,0,0,27,45,5.64,0,0,0,0,34
"Bayram","TUR","OUTSIDE HITTER",23,194,0,0,8,4,1.33,0,9,22,0,2,3,0.33,4,6,1.83,20,5,14,3.33,25
