"variable","n_outliers","pct_outliers","lower","upper"
"Age",3,0.884955752212389,14,38
"Height",1,0.294985250737463,174,222
"Setting Errors",16,4.71976401179941,-1.5,2.5
"Sets Per Match",44,12.9793510324484,-0.375,0.625
"Successful Receives",48,14.1592920353982,-18.75,31.25
"Receiving Errors",46,13.5693215339233,-6,10
"Receives Per Match",43,12.6843657817109,-2.1,3.5
"Aces",26,7.66961651917404,-6,10
"Service Errors",11,3.24483775811209,-24.5,43.5
"Service Attempts",2,0.589970501474926,-91.5,168.5
"Serves Per Match",17,5.01474926253687,-0.63,1.05
"Blocks",16,4.71976401179941,-12,20
"Blocking Errors",10,2.94985250737463,-26.75,47.25
"Blocks Per Match",12,3.53982300884956,-1.245,2.075
"Defensive Errors",9,2.65486725663717,-18.25,35.75
"Defensive Receptions",10,2.94985250737463,-22.25,43.75
"Digs Per Match",20,5.89970501474926,-2.23,5.05
"Kills",19,5.6047197640118,-76.25,129.75
"Attacking Errors",31,9.14454277286136,-21,35
"Attacking Attempts",31,9.14454277286136,-50,86
"Attacks Per Match",14,4.12979351032448,-7.2,12.32
"Total.Errors",7,2.06489675516224,-70.75,159.25
